title,year,genre,id
A Very British Coup,1988,9,
A Very British Murder with Lucy Worsley,2013,8,
A Very Peculiar Practice,1986,6,
A Very Peculiar Practice,1986,9,
A Vez e a Voz,1984,14,
A Vida Alheia,2010,6,
A Vida Privada de Salazar,2009,12,
A Vida Privada de Salazar,2009,18,
A Vida com Eliane,1957,6,
A Vida da Gente,2011,9,
A Vida da Gente,2011,18,
A Vida de Rafinha Bastos,2013,6,
A Vida o de Lucas Batista,2013,6,
A Vida o de Lucas Batista,2013,18,
A View of the Islands,1971,10,
A Visual Guide to the Universe with the Smithsonian,2014,8,
A Vodka Movie,2008,6,
A Vodka Movie,2008,19,
A Vote for the Stars,1964,8,
A Voz de Portugal,2011,14,
A War Diary,2001,9,
A War Diary,2001,22,
A Wealth of Wisdom,2004,17,
A Wedding Story,1996,8,
A Week of It,1977,6,
A Whole New Ballgame,1995,6,
A Whole Scene Going,1966,14,
A Wide Stance,2008,8,
A Wider World,2001,5,
A Wife for William,2004,6,
A Wife for William,2004,8,
A Will of Their Own,1998,9,
A Will to Survive,2016,8,
A Window Looking In,2010,8,
A Winter Harvest,1984,9,
A Winter Rose,2014,9,
A Woman Called Moses,1978,5,
A Woman Called Moses,1978,9,
A Woman Named Jackie,1991,5,
A Woman Named Jackie,1991,9,
A Woman of Independent Means,1995,9,
A Woman of Substance,1984,9,
A Woman of Substance,1984,18,
A Word from Our Sponsors,2011,6,
A Word in your Era,1992,6,
A Word with Alf,1997,6,
A World Apart,1969,9,
A World in Arms,2003,9,
A World of Comedy,1965,6,
A World of Comedy,1965,10,
A World of Dance in Philadelphia,2011,8,
A World of Her PWN,2008,6,
A World of Women,2015,8,
A World of Wonders,2007,10,
A Year at Kew,2004,8,
A Year at the Top,1977,6,
A Year in Provence,1993,9,
A Year in Space,2015,8,
A Year in Tibet,2008,8,
A Year in Tuscany,2003,8,
A Year in the Life,1987,9,
A Year in the Wild,2012,8,
A Year of Living Stupidly,2014,6,
A Year to Remember,1991,8,
A Year to Remember,1991,17,
A Year with Fred,1987,8,
A caixa negra,2009,8,
A carte scoperte,1974,8,
A escena,2002,5,
A escena,2002,8,
A escena,2009,17,
A familia Pita,1996,6,
A flor de piel,1994,9,
A flor de piel,1994,18,
A floricultura da nana,2009,10,
A for Andromeda,1961,9,
A grande richiesta,1981,12,
A kaito,1998,1,
A kaito,1998,4,
A kaito,1998,7,
A kaito,1998,9,
A kaito,1998,21,
A la Mexicana,1997,6,
A la cachi cachi porra,1992,10,
A la cama con Moria,1990,6,
A la caza del tesoro,1984,3,
A la recherche de Josephine,2013,8,
A la romana,2007,12,
A la suerte de la olla,2001,6,
A la vuelta de la esquina,2003,8,
A las diez en mi barrio,1956,6,
A las once en casa,1998,6,
A media tarde,1985,10,
A media voz,1964,10,
A media voz,1987,15,
A mi manera,2016,14,
A oscuras pero encendidos,1995,6,
A que no me dejas,2015,9,
A quien corresponda,1990,17,
A sada Zijah,2004,6,
A spas per la Ladinia,2012,8,
A su aire,1974,14,
A su servicio,1994,6,
A szerelem,1969,9,
A tenger,1982,9,
A tiro de piedra,2005,8,
A to Z,2014,6,
A to Z,2014,18,
A toda plana,1965,8,
A toda plana,1965,17,
A todo dar,1998,9,
A todo ritmo,1971,15,
A tope,1987,14,
A tortas con la vida,2005,6,
A tutto gag,1980,6,
A tutto gag,1980,15,
A un,1980,6,
A un,1980,9,
A vida por diante,2006,9,
A votre service,2015,6,
A ze parea,1994,6,
A ze parea,1994,18,
A zori zdes tikhie,2005,9,
A zori zdes tikhie,2005,22,
AA System Life,2012,9,
ABC Afterschool Specials,1972,3,
ABC Afterschool Specials,1972,6,
ABC Afterschool Specials,1972,9,
ABC Afterschool Specials,1972,10,
ABC Album,1953,9,
ABC Bakery,2005,10,
ABC Barn Dance,1949,14,
ABC Comedy News,1973,6,
ABC Evening News,1953,17,
ABC Minute Magazine,1977,17,
ABC News Breakfast,2008,17,
ABC News Nightline,1980,17,
ABC News Report,1991,17,
ABC News Reports,1963,8,
ABC News Reports,1963,17,
ABC News,1986,17,
ABC Notebook,1985,17,
ABC Nutrition Spots,1977,4,
ABC Rocks,1984,14,
ABC Saturday Comedy Special,1976,6,
ABC Scope,1964,8,
ABC Scope,1964,17,
ABC Showcase,1950,6,
ABC Showcase,1950,9,
ABC Sports College Football,1999,20,
ABC TGIF,1990,6,
ABC Television Players,1949,9,
ABC Weekend News,1968,17,
ABC Weekend Specials,1977,3,
ABC Weekend Specials,1977,4,
ABC Weekend Specials,1977,6,
ABC Weekend Specials,1977,9,
ABC Weekend Specials,1977,10,
ABC Weekend Specials,1977,11,
ABC Weekend Specials,1977,18,
ABC World News This Morning,1982,17,
ABC der Liebe,1974,15,
ABC discapacidad,1999,8,
ABC in Concert Country,1994,8,
ABC in Concert Country,1994,14,
ABC in Concert,1991,8,
ABC in Concert,1991,14,
ABCD Nuls,1989,6,
ABCD ekologie aneb Zivotabudic,2001,8,
ABCs of Rock,2005,14,
ABFF Independent,2012,19,
ABGala,2014,8,
ACC Gridiron Live,2014,20,
ACF,2012,6,
ACME Hollywood Dream Role,2011,6,
